province,quarter,year,quarter.1,avg_d_mbps,avg_u_mbps,avg_lat_ms_wt,total_tests,n_tiles,is_reliable,region,internet_tier,pop_2024,gdp_per_capita_raw_2021,density_per_km2,gdp_per_capita_usd_ppp_2021,gdp_per_capita_thb_2021
Bengkulu,2023-Q2,2023,2,18.471932059489845,8.016503011340296,69.68773320425959,25841,2,True,Sumatra,4,2138000,2736.0,106,8241.0,263712.0
Central Java,2023-Q2,2023,2,11.364938347620038,7.00982467098811,70.96111346622868,1161144,138,True,Java,4,38233900,2703.0,1113,8141.0,260512.0
Central Kalimantan,2023-Q2,2023,2,14.948184857062063,7.479404565871505,76.01132314107024,12961,4,True,Kalimantan,1,2845000,4397.0,19,13243.0,423776.0
Central Sulawesi,2023-Q2,2023,2,11.848275575555004,5.56003751835724,119.03614373064077,24882,9,True,Sulawesi,1,3156100,5712.0,51,16907.0,541024.0
East Java,2023-Q2,2023,2,11.73807904050628,7.2860231021763004,70.34651997927736,1967890,187,True,Java,2,42089300,4196.0,876,12638.0,404416.0
East Kalimantan,2023-Q2,2023,2,15.208257705507439,6.647957011236523,84.5602177047268,140772,17,True,Kalimantan,1,4267600,12757.0,34,38423.0,1229536.0
East Nusa Tenggara,2023-Q2,2023,2,13.496840959698602,5.620990725974555,98.1755777371182,20254,9,True,Lesser Sunda Islands,4,5742600,1438.0,124,4331.0,138592.0
Gorontalo,2023-Q2,2023,2,9.541157342859208,3.9469468399994265,147.6195350936966,11755,3,True,Sulawesi,4,1242200,2598.0,103,7825.0,250400.0
Jakarta,2023-Q2,2023,2,19.7892183570579,12.852560200301195,72.83394663550776,1578631,140,True,Java,1,10678000,19199.0,16141,57826.0,1850432.0
Jambi,2023-Q2,2023,2,17.09361429378841,9.095054282555878,63.9041741557267,32088,6,True,Sumatra,1,3768500,4556.0,77,13723.0,439136.0
