name_en,name_th,avg_d_mbps,total_tests,n_tiles,rank
BanChang,บ้านฉาง,156.42744976076554,836.0,160.0,1
MuangRayong,เมืองระยอง,146.96764816456817,5639.0,663.0,2
K.KhaoChamao,กิ่งเขาชะเมา,134.23805263157897,76.0,47.0,3
PluakDaeng,ปลวกแดง,128.59707847724374,4702.0,488.0,4
K.NikhomPattan,กิ่งนิคมพัฒนา,103.58925510204081,980.0,239.0,5
BanKhai,บ้านค่าย,95.72057320441989,724.0,170.0,6
WangChan,วังจันทร์,93.05659670781893,243.0,65.0,7
Klaeng,แกลง,84.13727485380116,855.0,238.0,8
