province,quarter,year,quarter.1,avg_d_mbps,avg_u_mbps,avg_lat_ms_wt,total_tests,n_tiles,is_reliable,region,internet_tier,pop_2024,gdp_per_capita_raw_2021,density_per_km2,gdp_per_capita_usd_ppp_2021,gdp_per_capita_thb_2021
North-East Region,2025-Q1,2025,1,129.12223954492654,71.30511272460599,46.30676217204405,140077,7,True,North-East Region,1,974650,107758,8778,132617.35,4241102.85
West Region,2025-Q1,2025,1,288.7644745882953,230.4803313770783,10.135332230395287,39298,7,True,West Region,4,944480,107758,4020,132617.35,4241102.85
Central Region,2025-Q2,2025,2,180.277563564866,122.01608218992504,35.077164433704716,111767,28,True,Central Region,2,975310,107758,7304,132617.35,4241102.85
East Region,2025-Q2,2025,2,247.1358412996859,220.222460353412,28.952084337349394,333,5,True,East Region,3,710690,107758,6368,132617.35,4241102.85
North Region,2025-Q2,2025,2,143.21380099073943,111.97110653895031,64.23219973776223,2288,3,True,North Region,4,599400,107758,4456,132617.35,4241102.85
North-East Region,2025-Q2,2025,2,125.6038766989652,64.04306176223194,41.81368606641191,92924,7,True,North-East Region,1,974650,107758,8778,132617.35,4241102.85
West Region,2025-Q2,2025,2,321.6619260841769,264.02726508937525,10.09716074954509,25839,8,True,West Region,4,944480,107758,4020,132617.35,4241102.85
Central Region,2025-Q3,2025,3,206.52357452829148,166.50304304928358,36.06244601472052,147997,29,True,Central Region,2,975310,107758,7304,132617.35,4241102.85
East Region,2025-Q3,2025,3,195.1125168401803,179.7920574652966,54.2497996742671,1228,6,True,East Region,3,710690,107758,6368,132617.35,4241102.85
North Region,2025-Q3,2025,3,166.31096360110547,135.23036439922242,80.76962118283726,2587,3,True,North Region,4,599400,107758,4456,132617.35,4241102.85
North-East Region,2025-Q3,2025,3,142.07605337459438,74.22860855140212,44.78271926405013,67749,8,True,North-East Region,1,974650,107758,8778,132617.35,4241102.85
West Region,2025-Q3,2025,3,346.9935662300039,283.4987673710348,9.047603184107647,28396,7,True,West Region,4,944480,107758,4020,132617.35,4241102.85
Central Region,2025-Q4,2025,4,209.05402758326503,168.89559443968756,40.67236643101114,113340,28,True,Central Region,2,975310,107758,7304,132617.35,4241102.85
East Region,2025-Q4,2025,4,324.57324174599836,291.2401571524341,27.02590740740741,1188,6,True,East Region,3,710690,107758,6368,132617.35,4241102.85
North Region,2025-Q4,2025,4,222.6289523269106,31.58777366700231,39.8258728468525,3193,2,True,North Region,4,599400,107758,4456,132617.35,4241102.85
North-East Region,2025-Q4,2025,4,180.65352316618086,82.60623867434822,31.808650599572122,50962,7,True,North-East Region,1,974650,107758,8778,132617.35,4241102.85
West Region,2025-Q4,2025,4,242.17432354118577,196.75745137497069,24.405500604594927,27300,6,True,West Region,4,944480,107758,4020,132617.35,4241102.85
