name_en,name_th,avg_d_mbps,total_tests,n_tiles,rank
K.KhaoChamao,กิ่งเขาชะเมา,391.769741697417,271.0,89.0,1
BanKhai,บ้านค่าย,363.77439809976244,2105.0,301.0,2
PluakDaeng,ปลวกแดง,361.15132959531934,6153.0,505.0,3
BanChang,บ้านฉาง,349.77682608695653,3565.0,226.0,4
K.NikhomPattan,กิ่งนิคมพัฒนา,347.51789482306685,3052.0,340.0,5
WangChan,วังจันทร์,345.2352546816479,534.0,113.0,6
Klaeng,แกลง,328.1032774027644,3111.0,514.0,7
MuangRayong,เมืองระยอง,318.4394718640094,17060.0,798.0,8
