name_en,name_th,avg_d_mbps,total_tests,n_tiles,rank,province_en,province_th
RatBurana,ราษฎร์บูรณะ,142.36081547924144,1951.0,40.0,36,BangkokMetropolis,กรุงเทพมหานคร
Ratchathewi,ราชเทวี,139.85073394941634,4112.0,18.0,37,BangkokMetropolis,กรุงเทพมหานคร
BangKhae,บางแค,139.79552544333075,2594.0,127.0,38,BangkokMetropolis,กรุงเทพมหานคร
ChomThong,จอมทอง,139.67627859879585,1827.0,65.0,39,BangkokMetropolis,กรุงเทพมหานคร
BangBon,บางบอน,139.33694479297367,1594.0,92.0,40,BangkokMetropolis,กรุงเทพมหานคร
SaphanSung,สะพานสูง,138.2065840108401,1476.0,80.0,41,BangkokMetropolis,กรุงเทพมหานคร
ThawiWattana,ทวีวัฒนา),137.53900559701492,1072.0,113.0,42,BangkokMetropolis,กรุงเทพมหานคร
Thungkru,ทุ่งครุ,135.28870997876857,2355.0,79.0,43,BangkokMetropolis,กรุงเทพมหานคร
LakSi,หลักส,135.12530892448513,2622.0,55.0,44,BangkokMetropolis,กรุงเทพมหานคร
KhlongSamWa,คลองสามวา,133.99181838949173,1751.0,190.0,45,BangkokMetropolis,กรุงเทพมหานคร
LatKrabang,ลาดกระบัง,133.66815710674703,5143.0,261.0,46,BangkokMetropolis,กรุงเทพมหานคร
Nongkheam,หนองแขม,132.37600338000968,2071.0,93.0,47,BangkokMetropolis,กรุงเทพมหานคร
MinBuri,มีนบุรี,126.96038522954092,2004.0,141.0,48,BangkokMetropolis,กรุงเทพมหานคร
SaiMai,สายไหม,124.80926121842496,3365.0,116.0,49,BangkokMetropolis,กรุงเทพมหานคร
NongChok,หนองจอก,83.92713515381956,2893.0,254.0,50,BangkokMetropolis,กรุงเทพมหานคร
PakThongChai,ปักธงชัย,632.9143257142857,2100.0,140.0,1,NakhonRatchasima,นครราชสีมา
MuangNakhonRatchasima,เมืองนครราชสีมา,374.9435887316059,25008.0,748.0,2,NakhonRatchasima,นครราชสีมา
PakChong,ปากช่อง,280.5336254527892,4141.0,751.0,3,NakhonRatchasima,นครราชสีมา
ChokChai,โชคชัย,267.5067441314554,852.0,99.0,4,NakhonRatchasima,นครราชสีมา
NonSung,โนนสูง,218.55166832917703,802.0,125.0,5,NakhonRatchasima,นครราชสีมา
K.MuangYang,กิ่งเมืองยาง,187.97875324675326,77.0,16.0,6,NakhonRatchasima,นครราชสีมา
BuaYai,บัวใหญ่,173.57609863945578,294.0,63.0,7,NakhonRatchasima,นครราชสีมา
KhamThalaSo,ขามทะเลสอ,162.52824137931034,116.0,34.0,8,NakhonRatchasima,นครราชสีมา
ChumPhuang,ชุมพวง,137.176237704918,122.0,39.0,9,NakhonRatchasima,นครราชสีมา
KhonBuri,ครบุรี,130.59161995249406,421.0,100.0,10,NakhonRatchasima,นครราชสีมา
Phimai,พิมาย,127.70615538847117,399.0,113.0,11,NakhonRatchasima,นครราชสีมา
Chalermphrakiet,ชุมพวง,123.36232450331126,151.0,44.0,12,NakhonRatchasima,นครราชสีมา
SungNoen,สูงเนิน,123.12040082644627,484.0,128.0,13,NakhonRatchasima,นครราชสีมา
NonDaeng,โนนแดง,122.86873333333334,105.0,31.0,14,NakhonRatchasima,นครราชสีมา
K.PhraThongKham,กิ่งพระทองคำ,122.040925,80.0,33.0,15,NakhonRatchasima,นครราชสีมา
Khong,คง,118.9975278810409,269.0,64.0,16,NakhonRatchasima,นครราชสีมา
K.BuaLai,กิ่งบัวลาย,112.38492,25.0,21.0,17,NakhonRatchasima,นครราชสีมา
K.Sida,กิ่งสีดา,111.60284,75.0,29.0,18,NakhonRatchasima,นครราชสีมา
PraThai,ประทาย,105.7406447368421,152.0,31.0,19,NakhonRatchasima,นครราชสีมา
SoengSang,เสิงสาง,104.50932972972973,185.0,67.0,20,NakhonRatchasima,นครราชสีมา
KhamSakaeSaeng,ขามสะแกแสง,103.94952671755725,131.0,41.0,21,NakhonRatchasima,นครราชสีมา
NongBunnak,หนองบุญนาก,103.85780434782608,138.0,53.0,22,NakhonRatchasima,นครราชสีมา
DanKhunThot,ด่านขุนทด,102.13231920903955,354.0,113.0,23,NakhonRatchasima,นครราชสีมา
BanLuam,บ้านเหลื่อม,101.93271428571428,21.0,8.0,24,NakhonRatchasima,นครราชสีมา
K.ThePhaRak,กิ่งเทพารักษ์,92.03758064516128,31.0,15.0,25,NakhonRatchasima,นครราชสีมา
WangNumKhiaw,วังน้ำเขียว,84.94335294117647,306.0,132.0,26,NakhonRatchasima,นครราชสีมา
Chakkarat,จักราช,79.77236231884058,138.0,55.0,27,NakhonRatchasima,นครราชสีมา
KaengSanamNang,แก้งสนามนาง,78.1647880794702,151.0,29.0,28,NakhonRatchasima,นครราชสีมา
HuaiThalang,ห้วยแถลง,76.27372277227722,101.0,45.0,29,NakhonRatchasima,นครราชสีมา
