name_en,name_th,avg_d_mbps,total_tests,n_tiles,rank
Kathu,กะทู้,192.4660972012103,2644.0,102.0,1
MuangPhuket,เมืองภูเก็ต,177.87450346342288,5919.0,324.0,2
Thalang,ถลาง,160.86553806695466,3704.0,318.0,3
