province,quarter,year,quarter.1,avg_d_mbps,avg_u_mbps,avg_lat_ms_wt,total_tests,n_tiles,is_reliable,region,internet_tier,pop_2024,gdp_per_capita_raw_2021,density_per_km2,gdp_per_capita_usd_ppp_2021,gdp_per_capita_thb_2021
Phú Thọ,2023-Q1,2023,1,19.059455740280374,22.088139980322673,201.34249946294304,931.0,12.0,True,Northeast,4,1515000,1916.23,414,5352.83,171183.41
Phú Yên,2023-Q1,2023,1,33.448538054350756,29.865147277544875,127.26411392405065,79.0,2.0,False,South Central Coast,3,1056000,2541.8,174,7100.3,227067.72
Quảng Bình,2023-Q1,2023,1,21.913948582121197,19.76704647639881,191.51474345549738,191.0,5.0,True,North Central Coast,3,992000,2203.01,112,6153.92,196802.45
Quảng Nam,2023-Q1,2023,1,22.349692087994573,23.106449364981387,178.6374103156274,1299.0,9.0,True,South Central Coast,2,1697000,3192.34,141,8917.53,285182.69
Quảng Ngãi,2023-Q1,2023,1,23.21734619211754,24.355131207569958,181.22507186858317,487.0,2.0,False,South Central Coast,2,1355000,3516.44,239,9822.88,314135.66
Quảng Ninh,2023-Q1,2023,1,18.56944041468173,25.21033993807069,199.89048854961837,393.0,5.0,True,Northeast,1,1387000,7834.55,214,21885.15,699887.25
Quảng Trị,2023-Q1,2023,1,23.04933110326316,22.00518256208573,191.22309193548384,620.0,6.0,True,North Central Coast,3,687000,2672.1,137,7464.29,238707.87
Sóc Trăng,2023-Q1,2023,1,27.42506950188483,20.947265127937126,106.96052582159622,639.0,3.0,False,Mekong Delta,3,1256000,2835.46,362,7920.62,253301.38
Sơn La,2023-Q1,2023,1,16.884006978791767,17.481651002179987,226.38699999999997,290.0,2.0,False,Northwest,4,1356000,1773.9,88,4955.24,158468.58
Thanh Hóa,2023-Q1,2023,1,16.940460765336052,21.328081773950387,215.41812472406184,906.0,5.0,True,North Central Coast,3,3689000,2434.69,328,6801.1,217499.22
Thái Bình,2023-Q1,2023,1,19.976581708292983,25.173686469505082,201.93102107111503,1139.0,5.0,True,Red River Delta,4,1934000,2090.86,1173,5840.64,186783.7
Thái Nguyên,2023-Q1,2023,1,19.845165550753364,23.859045212634854,220.4284609630668,2139.0,2.0,False,Northeast,3,1356000,2547.11,365,7115.14,227542.08
Thừa Thiên Huế,2023-Q1,2023,1,22.315493832700046,20.932791095611773,165.52986894246834,8378.0,4.0,False,North Central Coast,2,1257000,3072.58,230,8582.99,274484.12
Tiền Giang,2023-Q1,2023,1,23.899728618494503,23.1601854636735,168.62442718446596,1133.0,8.0,True,Mekong Delta,1,1898000,3781.77,703,10564.06,337838.5
Trà Vinh,2023-Q1,2023,1,30.183258834296,31.35553653677159,132.27431914893614,470.0,1.0,False,Mekong Delta,3,1067000,2662.89,428,7438.56,237885.11
Tuyên Quang,2023-Q1,2023,1,27.49371191659098,29.589506928993618,164.46854605263158,304.0,3.0,False,Northeast,4,1056000,1948.18,134,5442.08,174037.61
Tây Ninh,2023-Q1,2023,1,34.461372083014595,28.090863940900665,113.62717717717719,666.0,4.0,False,Southeast,1,1207000,4058.65,289,11337.5,362573.14
Vĩnh Long,2023-Q1,2023,1,30.83359564582871,32.58540154704892,106.67285390428212,397.0,4.0,False,Mekong Delta,2,1100000,3360.01,670,9385.9,300161.23
Vĩnh Phúc,2023-Q1,2023,1,16.58014346242882,24.598723686993214,203.71731111111112,630.0,4.0,False,Red River Delta,1,1296000,3990.61,932,11147.43,356494.89
Yên Bái,2023-Q1,2023,1,18.986011175664956,18.178600987840827,188.87620608899297,427.0,4.0,False,Northwest,4,950000,1845.51,119,5155.28,164865.75
Điện Biên,2023-Q1,2023,1,15.180401094402267,18.208493074907587,220.07814492753624,69.0,3.0,False,Northwest,4,705000,1589.03,63,4438.82,141953.51
Đà Nẵng,2023-Q1,2023,1,27.610670208855314,28.518307912875834,167.62474120956404,4266.0,4.0,False,South Central Coast,1,1294000,4811.58,883,13440.74,429834.96
Đắk Lắk,2023-Q1,2023,1,24.18461912220112,23.538817077355283,204.6696276923077,975.0,6.0,True,Central Highlands,3,2016000,2555.78,143,7139.36,228316.6
Đắk Nông,2023-Q1,2023,1,14.304884902960696,22.7623768433961,181.36693991416308,233.0,3.0,False,Central Highlands,2,670000,3000.7,96,8382.2,268062.84
Đồng Nai,2023-Q1,2023,1,38.49698712769166,33.08513552937801,98.1630938298649,2739.0,12.0,True,Southeast,2,3227000,3485.16,528,9735.5,311341.31
Đồng Tháp,2023-Q1,2023,1,23.679997810406633,23.61946330725968,107.49040762463343,682.0,6.0,True,Mekong Delta,3,1838000,2240.56,473,6258.82,200156.92
An Giang,2023-Q2,2023,2,29.569729735831125,25.096957155579695,107.57562801556422,1285.0,8.0,True,Mekong Delta,1,2057000,3791.46,540,10591.12,338704.14
Bà Rịa–Vũng Tàu,2023-Q2,2023,2,36.16501149026629,29.50020880179764,117.91721530837005,1816.0,5.0,True,Southeast,1,1303000,36786.39,580,102759.68,3286254.54
Bình Dương,2023-Q2,2023,2,34.624150091239905,25.429769856363325,119.27127937336819,1149.0,11.0,True,Southeast,2,2564000,3663.54,901,10233.79,327276.61
Bình Phước,2023-Q2,2023,2,33.40541291222641,27.707925982459006,131.24997197898423,571.0,7.0,True,Southeast,2,1313000,3606.56,145,10074.62,322186.39
Bình Thuận,2023-Q2,2023,2,35.536955077305535,32.26584006872424,123.31168474576272,295.0,3.0,False,South Central Coast,2,1498000,3090.17,155,8632.13,276055.5
Bình Định,2023-Q2,2023,2,30.684873157090127,28.658790471753598,144.3914131614654,1474.0,10.0,True,South Central Coast,2,1679000,3089.1,245,8629.14,275959.91
Bạc Liêu,2023-Q2,2023,2,25.625895285359796,24.74876918828293,144.15714122137405,262.0,1.0,False,Mekong Delta,2,1105000,3701.98,340,10341.17,330710.59
Bắc Giang,2023-Q2,2023,2,24.352123884848854,22.730773278100344,167.72235237714747,2503.0,3.0,False,Northeast,4,1884000,1909.44,463,5333.86,170576.83
Bắc Kạn,2023-Q2,2023,2,36.03765869258106,15.017894659932853,166.5497611940298,67.0,2.0,False,Northeast,4,338000,1766.68,65,4935.07,157823.59
Bắc Ninh,2023-Q2,2023,2,24.867505767647195,26.291058771940115,164.5594028185555,1703.0,3.0,False,Red River Delta,1,1447000,4451.41,1664,12434.64,397659.74
Bến Tre,2023-Q2,2023,2,33.54337232325931,27.670430036424342,128.0228438538206,903.0,4.0,False,Mekong Delta,2,1331000,2978.48,538,8320.13,266077.85
Cao Bằng,2023-Q2,2023,2,18.852019442722273,20.600761280634178,206.1285368852459,244.0,3.0,False,Northeast,4,576000,1564.27,79,4369.66,139741.61
Cà Mau,2023-Q2,2023,2,31.18892045088515,26.878625256486806,133.88984816753924,573.0,1.0,False,Mekong Delta,2,1369000,3121.66,229,8720.09,278868.61
Cần Thơ,2023-Q2,2023,2,36.023602102005825,29.915764548615837,121.99321155115511,3030.0,5.0,True,Mekong Delta,1,1456000,6260.52,858,17488.23,559273.75
Gia Lai,2023-Q2,2023,2,23.29224909984676,23.728976088870166,175.46317184466014,1030.0,2.0,False,Central Highlands,2,1586000,3023.2,98,8445.05,270072.84
Ho Chi Minh,2023-Q2,2023,2,39.49780316470145,31.502552694474215,114.04610851995292,47512.0,22.0,True,Southeast,1,9125000,7147.09,4363,19964.79,638474.09
Hà Giang,2023-Q2,2023,2,31.364850758554198,30.27058242799194,227.09794696969698,132.0,1.0,False,Northeast,4,910000,1083.72,108,3027.28,96812.43
Hà Nam,2023-Q2,2023,2,23.25822959225107,22.477382038531605,175.84286368260425,1966.0,5.0,True,Red River Delta,4,945000,2131.93,989,5955.37,190452.63
Hà Nội,2023-Q2,2023,2,31.266602642182683,25.488657401318193,158.25887662577986,37828.0,21.0,True,Red River Delta,1,8146000,3923.21,2398,10959.16,350473.82
Hà Tĩnh,2023-Q2,2023,2,23.372961170733905,22.81494740265183,189.40060987261143,628.0,4.0,False,North Central Coast,4,1402000,2117.32,215,5914.55,189147.47
Hòa Bình,2023-Q2,2023,2,19.681704449886112,18.36646672414529,194.5225253283302,533.0,3.0,False,Northwest,3,979000,2343.13,186,6545.34,209319.85
Hải Dương,2023-Q2,2023,2,25.66881698413956,25.118181843008035,171.57824246841594,2058.0,6.0,True,Red River Delta,3,2003000,2513.92,1134,7022.42,224577.11
Hải Phòng,2023-Q2,2023,2,25.238832761004065,25.384101900575327,192.38604054054062,2812.0,6.0,True,Red River Delta,1,2138000,3849.18,1299,10752.36,343860.47
Hậu Giang,2023-Q2,2023,2,34.16137862720899,28.282128024619585,100.8523360655738,366.0,4.0,False,Mekong Delta,2,853000,2943.84,452,8223.37,262983.34
Khánh Hòa,2023-Q2,2023,2,32.611515865748395,28.861245955085526,153.32633565989846,1576.0,4.0,False,South Central Coast,1,1371000,4180.68,240,11678.38,373474.5
Kiên Giang,2023-Q2,2023,2,30.869922911321673,23.165894728961064,135.635119133574,831.0,6.0,True,Mekong Delta,1,1789000,4336.43,271,12113.45,387388.18
Kon Tum,2023-Q2,2023,2,30.120252887499355,21.254115591021172,172.81788405797104,207.0,1.0,False,Central Highlands,4,589000,2075.42,56,5797.51,185404.4
Lai Châu,2023-Q2,2023,2,20.91295284551038,21.172206616280565,152.66588372093022,43.0,5.0,False,Northwest,4,527000,1081.84,51,3022.03,96644.48
Long An,2023-Q2,2023,2,32.10705542095315,31.04051305437336,117.12465539112053,473.0,5.0,True,Mekong Delta,1,1730000,4012.39,376,11208.27,358440.58
Lào Cai,2023-Q2,2023,2,23.576415172970975,28.88125894835838,191.10962049861496,361.0,5.0,True,Northwest,3,898000,2767.55,115,7730.92,247234.74
Lâm Đồng,2023-Q2,2023,2,34.01029287338509,23.781211462036445,138.90841252302027,1086.0,4.0,False,Central Highlands,2,1390000,3331.8,133,9307.1,297641.14
Lạng Sơn,2023-Q2,2023,2,28.80438745280702,21.256820594599382,139.09138317757007,107.0,5.0,True,Northeast,4,828000,2201.98,94,6151.05,196710.43
Nam Định,2023-Q2,2023,2,26.9313689690518,26.020808752026614,163.08805152471086,951.0,5.0,True,Red River Delta,4,1852000,1904.97,1067,5321.37,170177.51
Nghệ An,2023-Q2,2023,2,25.183831364002348,17.75299353919672,202.2331745053519,3083.0,17.0,True,North Central Coast,3,3399000,2379.59,202,6647.18,212576.95
Ninh Bình,2023-Q2,2023,2,20.86582635781301,23.690766810514468,178.23919688109157,1026.0,3.0,False,Red River Delta,3,1102000,2478.79,708,6924.29,221438.82
Ninh Thuận,2023-Q2,2023,2,9.49834369156481,14.342412081420926,126.0664,15.0,1.0,False,South Central Coast,3,720000,2402.34,176,6710.73,214609.28
Phú Thọ,2023-Q2,2023,2,24.379511634828475,22.588371923820258,170.13412636815923,1005.0,8.0,True,Northeast,4,1515000,1916.23,414,5352.83,171183.41
Phú Yên,2023-Q2,2023,2,19.544444760716097,25.920554579456507,180.95465354330707,127.0,3.0,False,South Central Coast,3,1056000,2541.8,174,7100.3,227067.72
Quảng Bình,2023-Q2,2023,2,21.45391623280894,21.551482524649956,177.78265553602813,569.0,4.0,False,North Central Coast,3,992000,2203.01,112,6153.92,196802.45
Quảng Nam,2023-Q2,2023,2,22.896541931365835,23.881731479942076,179.95248520710064,1690.0,7.0,True,South Central Coast,2,1697000,3192.34,141,8917.53,285182.69
Quảng Ngãi,2023-Q2,2023,2,31.651247057686703,26.32260896180889,173.23085641025642,585.0,4.0,False,South Central Coast,2,1355000,3516.44,239,9822.88,314135.66
Quảng Ninh,2023-Q2,2023,2,20.591027799871107,19.637568533002366,196.43743792633015,733.0,3.0,False,Northeast,1,1387000,7834.55,214,21885.15,699887.25
Quảng Trị,2023-Q2,2023,2,23.802476813296536,24.44340139429556,177.9404426020408,784.0,5.0,True,North Central Coast,3,687000,2672.1,137,7464.29,238707.87
Sóc Trăng,2023-Q2,2023,2,31.333554796309237,27.915254146383376,123.78701870907393,1069.0,4.0,False,Mekong Delta,3,1256000,2835.46,362,7920.62,253301.38
Sơn La,2023-Q2,2023,2,18.550247548041213,18.135910393987437,220.06277428571426,350.0,3.0,False,Northwest,4,1356000,1773.9,88,4955.24,158468.58
Thanh Hóa,2023-Q2,2023,2,21.630499153821262,21.87296932937233,193.58681609993062,1441.0,9.0,True,North Central Coast,3,3689000,2434.69,328,6801.1,217499.22
Thái Bình,2023-Q2,2023,2,24.13156188313391,23.009029222671415,174.82928734439835,964.0,5.0,True,Red River Delta,4,1934000,2090.86,1173,5840.64,186783.7
Thái Nguyên,2023-Q2,2023,2,26.831075127059147,22.24224969947332,178.45883271202234,2146.0,2.0,False,Northeast,3,1356000,2547.11,365,7115.14,227542.08
Thừa Thiên Huế,2023-Q2,2023,2,27.863796677406476,25.023026360766913,156.03851623376625,9856.0,3.0,False,North Central Coast,2,1257000,3072.58,230,8582.99,274484.12
Tiền Giang,2023-Q2,2023,2,35.37374738463211,29.73380830367555,112.22272447013488,519.0,9.0,True,Mekong Delta,1,1898000,3781.77,703,10564.06,337838.5
Trà Vinh,2023-Q2,2023,2,33.58765795543608,27.423527279787862,121.91447389558235,747.0,5.0,True,Mekong Delta,3,1067000,2662.89,428,7438.56,237885.11
Tuyên Quang,2023-Q2,2023,2,26.88223561158766,25.04488580307845,155.96113731343286,335.0,3.0,False,Northeast,4,1056000,1948.18,134,5442.08,174037.61
Tây Ninh,2023-Q2,2023,2,31.55323600314609,26.8785000136221,126.06607598784194,987.0,4.0,False,Southeast,1,1207000,4058.65,289,11337.5,362573.14
Vĩnh Long,2023-Q2,2023,2,41.24252579985549,32.12853593341872,112.91979999999998,420.0,4.0,False,Mekong Delta,2,1100000,3360.01,670,9385.9,300161.23
Vĩnh Phúc,2023-Q2,2023,2,19.181233270323993,20.941597393006273,191.05326217616582,965.0,5.0,True,Red River Delta,1,1296000,3990.61,932,11147.43,356494.89
