name_en,name_th,avg_d_mbps,total_tests,n_tiles,rank,province_en,province_th
K.MuangYang,กิ่งเมืองยาง,356.51163414634146,82.0,34.0,6,NakhonRatchasima,นครราชสีมา
Phimai,พิมาย,353.56046720214187,1494.0,211.0,7,NakhonRatchasima,นครราชสีมา
PakThongChai,ปักธงชัย,346.78209725315514,1347.0,204.0,8,NakhonRatchasima,นครราชสีมา
Chakkarat,จักราช,345.82034463276835,177.0,75.0,9,NakhonRatchasima,นครราชสีมา
NongBunnak,หนองบุญนาก,343.5541090909091,385.0,77.0,10,NakhonRatchasima,นครราชสีมา
NonDaeng,โนนแดง,342.72915,100.0,37.0,11,NakhonRatchasima,นครราชสีมา
KhonBuri,ครบุรี,341.0539351851852,540.0,122.0,12,NakhonRatchasima,นครราชสีมา
ChokChai,โชคชัย,340.4688978201635,734.0,152.0,13,NakhonRatchasima,นครราชสีมา
PraThai,ประทาย,340.2168245614035,342.0,100.0,14,NakhonRatchasima,นครราชสีมา
SungNoen,สูงเนิน,338.0049704565801,1117.0,165.0,15,NakhonRatchasima,นครราชสีมา
BanLuam,บ้านเหลื่อม,336.0964835164835,91.0,33.0,16,NakhonRatchasima,นครราชสีมา
Khong,คง,328.36255531453367,461.0,117.0,17,NakhonRatchasima,นครราชสีมา
SoengSang,เสิงสาง,325.48646696035246,454.0,92.0,18,NakhonRatchasima,นครราชสีมา
K.PhraThongKham,กิ่งพระทองคำ,325.3345070422535,142.0,60.0,19,NakhonRatchasima,นครราชสีมา
MuangNakhonRatchasima,เมืองนครราชสีมา,316.7777324407253,17925.0,912.0,20,NakhonRatchasima,นครราชสีมา
DanKhunThot,ด่านขุนทด,316.59467647058824,850.0,178.0,21,NakhonRatchasima,นครราชสีมา
Sikhiu,สีคิ้ว,313.074213483146,1869.0,246.0,22,NakhonRatchasima,นครราชสีมา
BuaYai,บัวใหญ่,308.52271942446043,556.0,113.0,23,NakhonRatchasima,นครราชสีมา
KhamSakaeSaeng,ขามสะแกแสง,307.4000996441281,281.0,62.0,24,NakhonRatchasima,นครราชสีมา
K.Sida,กิ่งสีดา,299.473612244898,98.0,29.0,25,NakhonRatchasima,นครราชสีมา
NonThai,โนนไทย,285.50615568862275,334.0,100.0,26,NakhonRatchasima,นครราชสีมา
PakChong,ปากช่อง,273.04283076062643,8940.0,1032.0,27,NakhonRatchasima,นครราชสีมา
WangNumKhiaw,วังน้ำเขียว,268.5231982881598,701.0,164.0,28,NakhonRatchasima,นครราชสีมา
HuaiThalang,ห้วยแถลง,263.5516576819407,371.0,86.0,29,NakhonRatchasima,นครราชสีมา
K.ThePhaRak,กิ่งเทพารักษ์,260.0790705128205,156.0,35.0,30,NakhonRatchasima,นครราชสีมา
Chalermphrakiet,ชุมพวง,257.72189162561574,406.0,67.0,31,NakhonRatchasima,นครราชสีมา
K.LamThaMenChai,กิ่งลำทะเมนชัย,243.75875555555555,135.0,38.0,32,NakhonRatchasima,นครราชสีมา
K.NonSila,กิ่งโนนศิลา,466.1787784090909,176.0,33.0,1,KhonKaen,ขอนแก่น
WaengNoi,แวงน้อย,348.02025274725275,91.0,28.0,2,KhonKaen,ขอนแก่น
PhraYun,พระยืน,326.20437869822484,169.0,41.0,3,KhonKaen,ขอนแก่น
ManchaKhiri,มัญจาคีรี,320.70753827751196,418.0,86.0,4,KhonKaen,ขอนแก่น
Kranuan,กระนวน,320.3630690909091,550.0,72.0,5,KhonKaen,ขอนแก่น
MuangKhonKaen,เมืองขอนแก่น,319.68834758099047,14014.0,718.0,6,KhonKaen,ขอนแก่น
BanFang,บ้านฝาง,309.2885172413793,174.0,59.0,7,KhonKaen,ขอนแก่น
K.NongNaKham,กิ่งหนองนาคำ,307.1958813559322,59.0,17.0,8,KhonKaen,ขอนแก่น
Phon,พล,305.4069172932331,532.0,88.0,9,KhonKaen,ขอนแก่น
SiChomphu,สีชมพู,303.74755078125,256.0,54.0,10,KhonKaen,ขอนแก่น
ChumPhae,ชุมแพ,300.39649410503756,933.0,140.0,11,KhonKaen,ขอนแก่น
BanPhai,บ้านไผ่,293.4715257393209,913.0,123.0,12,KhonKaen,ขอนแก่น
WaengYai,แวงใหญ่,287.468096969697,165.0,30.0,13,KhonKaen,ขอนแก่น
NongRua,หนองเรือ,285.0323087149187,677.0,90.0,14,KhonKaen,ขอนแก่น
K.KhokPhoCha,กิ่งโคกโพธิ์ชัย,270.9815,102.0,31.0,15,KhonKaen,ขอนแก่น
