province,quarter,year,quarter,avg_d_mbps,avg_u_mbps,avg_lat_ms_wt,total_tests,n_tiles,is_reliable,region,internet_tier,pop_2024,gdp_per_capita_thb_2021,density_per_km2
Lampung,2023-Q2,2023,2,16.657070106696487,8.59808777431437,65.74871579005864,35993,5,True,Sumatra,3,9522900,275840.0,284
Maluku,2023-Q2,2023,2,7.706115768633056,4.147975486926301,108.30892393800228,3484,1,True,Maluku Islands,4,1970600,175616.0,43
North Kalimantan,2023-Q2,2023,2,10.942947409273392,6.700938869907609,59.34980341880341,117,1,True,Kalimantan,1,749400,1044576.0,11
North Maluku,2023-Q2,2023,2,8.44984453895027,3.911747591904956,102.97839375000004,160,1,True,Maluku Islands,3,1373800,271520.0,44
North Sulawesi,2023-Q2,2023,2,9.58017011175679,5.623530238029739,121.83336052743516,35274,4,True,Sulawesi,2,2721400,364032.0,188
North Sumatra,2023-Q2,2023,2,17.845360562210683,7.331520935559164,93.52229271385232,176701,8,True,Sumatra,2,15785800,387744.0,218
Papua,2023-Q2,2023,2,9.570163692321438,4.844518526010192,148.97554837731272,9891,4,True,Western New Guinea,2,4600500,363936.0,15
Riau,2023-Q2,2023,2,21.521142716859718,6.950691218724269,61.787213125672885,109615,12,True,Sumatra,1,6811200,874688.0,76
Riau Islands,2023-Q2,2023,2,21.767001140689192,8.207686549658842,55.7219786522224,12554,1,True,Sumatra,1,2213500,876480.0,271
South Kalimantan,2023-Q2,2023,2,11.691999394036388,6.488565333042019,80.75194351086282,85768,7,True,Kalimantan,3,4323300,314688.0,116
South Sulawesi,2023-Q2,2023,2,13.224894066055196,5.766957224818288,73.988399586322,165355,10,True,Sulawesi,2,9563100,401824.0,211
South Sumatra,2023-Q2,2023,2,19.160893022180307,7.915026262455946,64.27199302474996,98067,2,True,Sumatra,2,8928500,387264.0,103
Southeast Sulawesi,2023-Q2,2023,2,12.824535482023052,5.927838068300487,117.17587371854614,2147,1,True,Sulawesi,3,2836700,352288.0,78
West Java,2023-Q2,2023,2,12.59793836778156,8.2178369952637,70.54128795700403,433594,40,True,Java,3,50759000,305152.0,1370
West Kalimantan,2023-Q2,2023,2,12.368262922913594,5.393558880666385,79.34828057149618,33807,3,True,Kalimantan,3,5766000,284800.0,39
West Nusa Tenggara,2023-Q2,2023,2,16.638571734154073,8.834428616520704,105.07679552068836,15807,4,True,Lesser Sunda Islands,4,5731100,175136.0,292
West Papua,2023-Q2,2023,2,8.109617259625113,5.708665571333137,110.41505332476711,3113,3,True,Western New Guinea,1,1224000,550528.0,12
West Sumatra,2023-Q2,2023,2,12.858222859161303,6.48702211156275,67.00069865208788,42439,8,True,Sumatra,3,5914300,305056.0,140
Yogyakarta,2023-Q2,2023,2,12.0380266339251,8.06674875772763,80.77367089862658,129111,4,True,Java,4,3781500,271040.0,1193
Aceh,2023-Q3,2023,3,30.544397196329797,8.557147306420255,41.25045623083357,7174,2,True,Sumatra,4,5626000,233536.0,99
Bali,2023-Q3,2023,3,17.515018117658276,10.257981827361204,50.91483280541048,70089,6,True,Lesser Sunda Islands,3,4461300,339360.0,799
Banten,2023-Q3,2023,3,17.877972152380025,10.608202659807352,50.77815036419448,55065,12,True,Java,2,12537400,371936.0,1340
Bengkulu,2023-Q3,2023,3,14.599670742656633,7.513642134397378,78.41661997857526,3734,1,True,Sumatra,4,2138000,263712.0,106
Central Java,2023-Q3,2023,3,16.786474667331387,9.43422241330246,54.279305224084936,328697,33,True,Java,4,38233900,260512.0,1113
Central Kalimantan,2023-Q3,2023,3,13.393704961837653,5.693259905071095,41.90508537241193,14876,4,True,Kalimantan,1,2845000,423776.0,19
Central Sulawesi,2023-Q3,2023,3,10.400039949560778,6.67381095318962,82.74762819645514,7391,3,True,Sulawesi,1,3156100,541024.0,51
East Java,2023-Q3,2023,3,17.414409563122046,8.979633025862428,56.69860462927628,529223,40,True,Java,2,42089300,404416.0,876
