province,quarter,year,quarter,avg_d_mbps,avg_u_mbps,avg_lat_ms_wt,total_tests,n_tiles,is_reliable,region,internet_tier,pop_2024,gdp_per_capita_thb_2021,density_per_km2
Phra Nakhon Si Ayutthaya,2023-Q1,2023,1,85.64548358220567,62.07506560495367,116.92991937241725,44065,26,True,Central,1,823000,1544117.75,323
Phrae,2023-Q1,2023,1,58.32886376604541,38.52859255997496,131.24601046405826,2198,5,True,Northern,3,422000,272704.21,65
Phuket,2023-Q1,2023,1,79.27562226776783,52.65486743098147,88.77340011360653,45798,11,True,Southern,1,430000,544858.1,786
Prachin Buri,2023-Q1,2023,1,81.09275617928196,62.49826095176456,96.19286243386242,3213,12,True,Eastern,1,501000,1616351.17,100
Prachuap Khiri Khan,2023-Q1,2023,1,89.99657937411706,58.93411267740502,98.49626343173853,8846,8,True,Western,2,552000,633775.72,87
Ranong,2023-Q1,2023,1,59.053202936150285,62.930133407395616,105.8802655462185,595,3,True,Southern,3,193000,346852.2,59
Ratchaburi,2023-Q1,2023,1,74.30347893524505,49.16097455290574,99.57971532235554,3584,7,True,Western,2,864000,729527.83,167
Rayong,2023-Q1,2023,1,103.8611929531788,69.26831031479637,87.91533883272578,26618,10,True,Eastern,1,782000,3147422.75,213
Roi Et,2023-Q1,2023,1,56.45268644222995,36.75196659684852,152.60823903818954,708,7,True,Northeastern,4,1276000,259302.14,162
Sa Kaeo,2023-Q1,2023,1,65.57120977143586,47.76717137377071,100.93171325568494,1803,9,True,Eastern,4,562000,243010.08,80
Sakon Nakhon,2023-Q1,2023,1,57.304462198532846,37.30722036985152,155.54935636888996,4155,12,True,Northeastern,4,1138000,237648.59,118
Samut Prakan,2023-Q1,2023,1,86.20661170513965,59.67465794171427,105.21822584259348,54472,12,True,Bangkok & Vicinity,1,1381000,933102.81,1458
Samut Sakhon,2023-Q1,2023,1,124.00595830570066,74.82827998394778,85.2094546747245,2813,6,True,Bangkok & Vicinity,1,591000,1289926.65,682
Samut Songkhram,2023-Q1,2023,1,69.47870917190531,45.30175040552297,111.11591230893,1243,3,True,Western,2,187000,527544.48,452
Saraburi,2023-Q1,2023,1,116.82434296259726,75.60317349488618,94.2018143015521,9025,13,True,Central,1,639000,1066220.56,182
Satun,2023-Q1,2023,1,52.486168292954765,44.5097351698769,111.0777283311772,1546,7,True,Southern,3,325000,373956.21,108
Si Sa Ket,2023-Q1,2023,1,60.90158628518665,49.32905641842577,184.45947066180292,9600,15,True,Northeastern,4,1442000,274605.61,161
