province,quarter,year,quarter.1,avg_d_mbps,avg_u_mbps,avg_lat_ms_wt,total_tests,n_tiles,is_reliable,region,internet_tier,pop_2024,gdp_per_capita_raw_2021,density_per_km2,gdp_per_capita_usd_ppp_2021,gdp_per_capita_thb_2021
Central Luzon,2023-Q3,2023,3,58.171894948070594,43.38913095426571,54.950143041937075,892516,194,True,Luzon,2,12989074,3697,510,8234.11,263326.87
Central Visayas,2023-Q3,2023,3,62.04693985839573,40.487047646448545,90.85637464218443,1118602,97,True,Visayas,2,6640875,3448,647,7679.53,245591.3
Davao Region,2023-Q3,2023,3,48.50845178326466,34.76514094038673,127.92841551859125,676375,46,True,Mindanao,1,5389422,4079,245,9084.92,290535.65
Eastern Visayas,2023-Q3,2023,3,27.832104495668922,18.1630819448377,75.16520274446789,48575,53,True,Visayas,4,4625929,2076,191,4623.75,147867.62
Ilocos Region,2023-Q3,2023,3,48.463917464465446,31.71737898156105,70.19758076685038,121194,96,True,Luzon,3,5342453,2716,386,6049.19,193453.01
Mimaropa,2023-Q3,2023,3,46.75664215424918,32.209394207556905,64.14472284977597,32598,39,True,Luzon,3,3245446,2680,100,5969.01,190888.83
NCR,2023-Q3,2023,3,62.40655130601207,41.42014179567505,64.51206460812632,2833868,98,True,Luzon,1,14001751,10426,20247,23221.22,742614.53
Northern Mindanao,2023-Q3,2023,3,50.03820955647831,33.43114994479848,90.45048411100616,364932,63,True,Mindanao,1,5178326,4096,229,9122.78,291746.51
Soccsksargen,2023-Q3,2023,3,38.79756783462195,26.51200325748599,116.17225507842917,93870,39,True,Mindanao,4,4462776,2459,202,5476.79,175147.62
Western Visayas,2023-Q3,2023,3,53.30405852460579,34.36009852048361,83.15731501092492,341199,98,True,Visayas,2,9766855,2765,372,6158.32,196943.14
Zamboanga Peninsula,2023-Q3,2023,3,42.76118899188772,31.698180073973784,140.65675070063418,103249,33,True,Mindanao,4,5089934,2525,213,5623.78,179848.62
ARMM,2023-Q4,2023,4,37.087171778906665,31.95727055816383,119.86605398967863,7564,14,True,Mindanao,4,4545486,1278,330,2846.41,91028.33
Bicol Region,2023-Q4,2023,4,50.02375286801169,34.67518428318377,49.28162141689591,157341,90,True,Luzon,4,6064426,2002,319,4458.94,142596.8
CAR,2023-Q4,2023,4,53.09102064760625,40.94692392267418,91.8742272138082,142051,26,True,Luzon,1,1808985,4145,89,9231.91,295236.64
Cagayan Valley,2023-Q4,2023,4,44.07057246726447,37.81802821806628,64.62389719758319,56621,79,True,Luzon,3,3777608,2606,122,5804.19,185618.02
Calabarzon,2023-Q4,2023,4,58.11490484927441,44.61199732629324,75.52393608930103,1371086,176,True,Luzon,2,16933234,3647,854,8122.75,259765.51
Caraga,2023-Q4,2023,4,43.50524625257808,31.638926492390773,84.61175117909174,38398,31,True,Mindanao,3,2865196,2630,121,5857.64,187327.47
Central Luzon,2023-Q4,2023,4,56.61870389203261,45.64370824342727,51.109010279279794,789400,185,True,Luzon,2,12989074,3697,510,8234.11,263326.87
Central Visayas,2023-Q4,2023,4,56.275200222594705,37.83614208646933,79.79403379888153,732500,99,True,Visayas,2,6640875,3448,647,7679.53,245591.3
Davao Region,2023-Q4,2023,4,46.67929897938052,31.74388127986135,111.48678040619656,410314,39,True,Mindanao,1,5389422,4079,245,9084.92,290535.65
Eastern Visayas,2023-Q4,2023,4,26.654226213592498,16.10206843792613,69.25734883720922,41574,58,True,Visayas,4,4625929,2076,191,4623.75,147867.62
Ilocos Region,2023-Q4,2023,4,49.278524911664114,36.658645290285556,56.340898876239585,136488,105,True,Luzon,3,5342453,2716,386,6049.19,193453.01
Mimaropa,2023-Q4,2023,4,41.20486581281533,30.70609981449927,53.05544404543777,27320,41,True,Luzon,3,3245446,2680,100,5969.01,190888.83
NCR,2023-Q4,2023,4,61.58167956263121,44.911894375133805,60.446523246038694,2738242,101,True,Luzon,1,14001751,10426,20247,23221.22,742614.53
Northern Mindanao,2023-Q4,2023,4,52.011103966986724,32.19321636569122,79.85396199127061,290956,58,True,Mindanao,1,5178326,4096,229,9122.78,291746.51
Soccsksargen,2023-Q4,2023,4,41.81444096489415,24.58159913098562,83.05646081237282,52797,42,True,Mindanao,4,4462776,2459,202,5476.79,175147.62
Western Visayas,2023-Q4,2023,4,43.83822056057896,30.269151207634486,83.33558691290911,225439,97,True,Visayas,2,9766855,2765,372,6158.32,196943.14
Zamboanga Peninsula,2023-Q4,2023,4,41.17099635551627,26.029494328958602,100.65938943783026,32616,40,True,Mindanao,4,5089934,2525,213,5623.78,179848.62
ARMM,2024-Q1,2024,1,29.645763594201593,23.444927775985292,73.69149444223895,5046,11,True,Mindanao,4,4545486,1278,330,2846.41,91028.33
Bicol Region,2024-Q1,2024,1,49.19111251020796,34.67604070046744,58.552034039154265,167861,67,True,Luzon,4,6064426,2002,319,4458.94,142596.8
CAR,2024-Q1,2024,1,56.3398424372754,44.90741656475271,95.92310408243475,173233,26,True,Luzon,1,1808985,4145,89,9231.91,295236.64
Cagayan Valley,2024-Q1,2024,1,46.847494511676224,40.1312080617437,67.3718616734243,67861,57,True,Luzon,3,3777608,2606,122,5804.19,185618.02
Calabarzon,2024-Q1,2024,1,64.76138017144943,49.78331035339264,62.3082662342668,1428842,143,True,Luzon,2,16933234,3647,854,8122.75,259765.51
Caraga,2024-Q1,2024,1,45.9712604431097,35.095767232666454,70.67636946892766,44736,24,True,Mindanao,3,2865196,2630,121,5857.64,187327.47
Central Luzon,2024-Q1,2024,1,59.514514632673055,48.23944083933673,50.34545326287651,840831,155,True,Luzon,2,12989074,3697,510,8234.11,263326.87
Central Visayas,2024-Q1,2024,1,58.22994956393342,40.11184595347793,79.01479946462679,816980,82,True,Visayas,2,6640875,3448,647,7679.53,245591.3
Davao Region,2024-Q1,2024,1,53.73299518389761,35.78825642251494,98.78351975395137,515978,35,True,Mindanao,1,5389422,4079,245,9084.92,290535.65
Eastern Visayas,2024-Q1,2024,1,24.75480626969491,16.898501997349026,75.79633769421308,44459,57,True,Visayas,4,4625929,2076,191,4623.75,147867.62
Ilocos Region,2024-Q1,2024,1,52.06497288020222,41.6957342661766,81.99758825770122,157588,85,True,Luzon,3,5342453,2716,386,6049.19,193453.01
Mimaropa,2024-Q1,2024,1,44.62429775912538,33.7561119402456,55.92130385164053,27355,29,True,Luzon,3,3245446,2680,100,5969.01,190888.83
NCR,2024-Q1,2024,1,65.33592231606421,47.637901546613975,59.69325026166702,2876115,91,True,Luzon,1,14001751,10426,20247,23221.22,742614.53
Northern Mindanao,2024-Q1,2024,1,56.68174691053692,35.403915226966994,77.94765372730672,332347,50,True,Mindanao,1,5178326,4096,229,9122.78,291746.51
Soccsksargen,2024-Q1,2024,1,39.48751621474419,25.97417937087449,83.10073322922658,60874,36,True,Mindanao,4,4462776,2459,202,5476.79,175147.62
Western Visayas,2024-Q1,2024,1,47.452395584887704,32.28475663748817,66.60083397025613,236712,86,True,Visayas,2,9766855,2765,372,6158.32,196943.14
Zamboanga Peninsula,2024-Q1,2024,1,32.03468593456676,21.74299880254857,82.15536953862262,22904,33,True,Mindanao,4,5089934,2525,213,5623.78,179848.62
ARMM,2024-Q2,2024,2,29.200650084631093,17.699287567071536,76.94666980497638,1488,6,True,Mindanao,4,4545486,1278,330,2846.41,91028.33
Bicol Region,2024-Q2,2024,2,61.385971776581556,38.6449323130538,49.06070457837813,148516,40,True,Luzon,4,6064426,2002,319,4458.94,142596.8
CAR,2024-Q2,2024,2,72.31895516958052,44.762169562014996,79.20698903804146,207271,9,True,Luzon,1,1808985,4145,89,9231.91,295236.64
Cagayan Valley,2024-Q2,2024,2,63.08352573178254,45.38107680559095,46.25135162546568,48036,24,True,Luzon,3,3777608,2606,122,5804.19,185618.02
Calabarzon,2024-Q2,2024,2,78.76782910271774,57.85605373796749,57.61327191907733,1483898,91,True,Luzon,2,16933234,3647,854,8122.75,259765.51
Caraga,2024-Q2,2024,2,55.19251275096184,38.97473712383262,64.52605752345228,53332,8,True,Mindanao,3,2865196,2630,121,5857.64,187327.47
Central Luzon,2024-Q2,2024,2,73.33228654646885,53.89407995727239,42.07235958341499,802763,105,True,Luzon,2,12989074,3697,510,8234.11,263326.87
Central Visayas,2024-Q2,2024,2,68.34835424922335,47.15576030305863,77.41440961648013,909671,51,True,Visayas,2,6640875,3448,647,7679.53,245591.3
Davao Region,2024-Q2,2024,2,65.1676225788656,43.333818259606666,91.49437016980268,640596,23,True,Mindanao,1,5389422,4079,245,9084.92,290535.65
Eastern Visayas,2024-Q2,2024,2,27.74312953641136,20.528380011284735,68.46999265010024,31459,34,True,Visayas,4,4625929,2076,191,4623.75,147867.62
Ilocos Region,2024-Q2,2024,2,70.06019438478249,45.095645464859416,51.051117929520146,124803,39,True,Luzon,3,5342453,2716,386,6049.19,193453.01
Mimaropa,2024-Q2,2024,2,51.75972237164136,37.337106140314305,49.75681929220183,15974,14,True,Luzon,3,3245446,2680,100,5969.01,190888.83
NCR,2024-Q2,2024,2,75.45073727134707,51.68227415911388,51.943266869672364,3454395,80,True,Luzon,1,14001751,10426,20247,23221.22,742614.53
Northern Mindanao,2024-Q2,2024,2,67.21996924263871,40.98897860474669,63.769604608427144,307164,23,True,Mindanao,1,5178326,4096,229,9122.78,291746.51
Soccsksargen,2024-Q2,2024,2,42.932472696584234,30.281479004084304,80.26147920518771,38426,19,True,Mindanao,4,4462776,2459,202,5476.79,175147.62
Western Visayas,2024-Q2,2024,2,58.56724401760818,38.40320665445734,57.98451492071836,227787,47,True,Visayas,2,9766855,2765,372,6158.32,196943.14
Zamboanga Peninsula,2024-Q2,2024,2,33.987560514022945,24.07072964204119,67.79573252715721,9767,15,True,Mindanao,4,5089934,2525,213,5623.78,179848.62
ARMM,2024-Q3,2024,3,23.829630925328168,13.954712375200323,69.65142795698925,1396,3,True,Mindanao,4,4545486,1278,330,2846.41,91028.33
Bicol Region,2024-Q3,2024,3,58.42091576790353,39.57799198191863,49.67576984075031,152964,24,True,Luzon,4,6064426,2002,319,4458.94,142596.8
CAR,2024-Q3,2024,3,57.796576996407914,44.90873060226159,101.16671521584486,266021,6,True,Luzon,1,1808985,4145,89,9231.91,295236.64
Cagayan Valley,2024-Q3,2024,3,55.180966918635,46.0584354347591,45.89911155860843,40516,19,True,Luzon,3,3777608,2606,122,5804.19,185618.02
Calabarzon,2024-Q3,2024,3,75.81855438915161,57.0799328047248,60.26843737282016,1429860,67,True,Luzon,2,16933234,3647,854,8122.75,259765.51
Caraga,2024-Q3,2024,3,52.977195029591925,40.48422886125078,68.21262695598801,58717,7,True,Mindanao,3,2865196,2630,121,5857.64,187327.47
Central Luzon,2024-Q3,2024,3,71.79623362722685,56.004354564370736,44.71588530692056,738967,76,True,Luzon,2,12989074,3697,510,8234.11,263326.87
Central Visayas,2024-Q3,2024,3,65.45763457464247,46.518119660424226,79.1853806675212,892658,28,True,Visayas,2,6640875,3448,647,7679.53,245591.3
Davao Region,2024-Q3,2024,3,59.52219838709386,41.715385500597044,102.99444913716465,605956,17,True,Mindanao,1,5389422,4079,245,9084.92,290535.65
Eastern Visayas,2024-Q3,2024,3,29.694644462589725,22.81905959492722,80.28328503855374,15448,24,True,Visayas,4,4625929,2076,191,4623.75,147867.62
Ilocos Region,2024-Q3,2024,3,64.84045450625007,46.44242100872839,48.24071392000566,122736,15,True,Luzon,3,5342453,2716,386,6049.19,193453.01
Mimaropa,2024-Q3,2024,3,44.92460159872566,32.62381575298752,54.15275649519364,15404,9,True,Luzon,3,3245446,2680,100,5969.01,190888.83
NCR,2024-Q3,2024,3,71.479654735449,50.89402189364856,54.94689351492685,3779199,65,True,Luzon,1,14001751,10426,20247,23221.22,742614.53
Northern Mindanao,2024-Q3,2024,3,64.65469117066543,42.13853554630081,67.23740909393793,315359,12,True,Mindanao,1,5178326,4096,229,9122.78,291746.51
Soccsksargen,2024-Q3,2024,3,34.33103391274616,23.06789602417472,89.68677104884523,29227,14,True,Mindanao,4,4462776,2459,202,5476.79,175147.62
Western Visayas,2024-Q3,2024,3,63.005240817628525,42.96443865383335,58.994276660520036,208381,28,True,Visayas,2,9766855,2765,372,6158.32,196943.14
Zamboanga Peninsula,2024-Q3,2024,3,30.167641138949808,22.346774905255213,77.06764134584785,12586,7,True,Mindanao,4,5089934,2525,213,5623.78,179848.62
ARMM,2024-Q4,2024,4,26.90989520631042,15.314331471809012,38.653040526849026,989,3,True,Mindanao,4,4545486,1278,330,2846.41,91028.33
Bicol Region,2024-Q4,2024,4,62.84042334480535,39.64065605206797,48.43581177078724,125824,23,True,Luzon,4,6064426,2002,319,4458.94,142596.8
CAR,2024-Q4,2024,4,67.51747599281569,36.619782102749284,62.41390674347252,159826,6,True,Luzon,1,1808985,4145,89,9231.91,295236.64
Cagayan Valley,2024-Q4,2024,4,54.96999503836337,42.27746734856099,50.04807310027835,47467,10,True,Luzon,3,3777608,2606,122,5804.19,185618.02
Calabarzon,2024-Q4,2024,4,78.21878699616086,59.17385705160036,50.89079420967896,1165526,66,True,Luzon,2,16933234,3647,854,8122.75,259765.51
Caraga,2024-Q4,2024,4,61.34343970327092,47.29962390320742,70.72016566311972,70638,5,True,Mindanao,3,2865196,2630,121,5857.64,187327.47
Central Luzon,2024-Q4,2024,4,74.19291401753595,55.193554995904506,44.70453906697035,678524,70,True,Luzon,2,12989074,3697,510,8234.11,263326.87
Central Visayas,2024-Q4,2024,4,66.63168862174764,47.843827870918204,77.47418102867869,772865,31,True,Visayas,2,6640875,3448,647,7679.53,245591.3
Davao Region,2024-Q4,2024,4,64.36724431013575,44.94108804481276,96.92435643772858,508511,11,True,Mindanao,1,5389422,4079,245,9084.92,290535.65
Eastern Visayas,2024-Q4,2024,4,31.82446192162221,25.11246639613716,83.61699063889556,12837,17,True,Visayas,4,4625929,2076,191,4623.75,147867.62
Ilocos Region,2024-Q4,2024,4,61.903594727167714,37.845342678089814,70.73868452012368,90490,20,True,Luzon,3,5342453,2716,386,6049.19,193453.01
Mimaropa,2024-Q4,2024,4,46.02748803474019,33.505048950619646,52.908551156748736,8095,8,True,Luzon,3,3245446,2680,100,5969.01,190888.83
NCR,2024-Q4,2024,4,73.42542743475344,51.055306637248705,49.742312567088995,3482513,64,True,Luzon,1,14001751,10426,20247,23221.22,742614.53
Northern Mindanao,2024-Q4,2024,4,89.83193758382703,45.3837037679979,62.29931159964458,291768,15,True,Mindanao,1,5178326,4096,229,9122.78,291746.51
Soccsksargen,2024-Q4,2024,4,35.70072162754508,24.20650797248556,99.96890594525736,36124,13,True,Mindanao,4,4462776,2459,202,5476.79,175147.62
Western Visayas,2024-Q4,2024,4,69.07539079826797,48.931716099742296,57.69537236199465,213696,26,True,Visayas,2,9766855,2765,372,6158.32,196943.14
Zamboanga Peninsula,2024-Q4,2024,4,48.45927446410454,39.89829137109847,84.36510558069348,30520,10,True,Mindanao,4,5089934,2525,213,5623.78,179848.62
ARMM,2025-Q1,2025,1,42.82271017677954,30.05211330363651,86.84291903283051,9022,4,True,Mindanao,4,4545486,1278,330,2846.41,91028.33
Bicol Region,2025-Q1,2025,1,69.22624044261605,39.40867166300164,55.02743878693733,189435,13,True,Luzon,4,6064426,2002,319,4458.94,142596.8
CAR,2025-Q1,2025,1,72.63640344805228,45.13220324190001,70.82939501828531,304229,6,True,Luzon,1,1808985,4145,89,9231.91,295236.64
Cagayan Valley,2025-Q1,2025,1,63.173389646046374,35.93970041821395,64.4588448892332,108600,11,True,Luzon,3,3777608,2606,122,5804.19,185618.02
Calabarzon,2025-Q1,2025,1,85.31216118079048,64.18010652301362,53.29188097472722,1788386,64,True,Luzon,2,16933234,3647,854,8122.75,259765.51
Caraga,2025-Q1,2025,1,65.68662910159462,57.223317404149256,68.33685139521012,105732,5,True,Mindanao,3,2865196,2630,121,5857.64,187327.47
Central Luzon,2025-Q1,2025,1,85.4718104587331,58.234632589789285,47.365800402300735,1076257,72,True,Luzon,2,12989074,3697,510,8234.11,263326.87
Central Visayas,2025-Q1,2025,1,71.76564817898944,52.314195949162006,70.57326988752516,1101353,27,True,Visayas,2,6640875,3448,647,7679.53,245591.3
Davao Region,2025-Q1,2025,1,71.48668637720205,51.33336614006475,81.54131298149726,727615,13,True,Mindanao,1,5389422,4079,245,9084.92,290535.65
Eastern Visayas,2025-Q1,2025,1,23.815868942536998,16.65941569752053,75.05488155169813,46885,9,True,Visayas,4,4625929,2076,191,4623.75,147867.62
Ilocos Region,2025-Q1,2025,1,79.00625419435796,48.6025958889494,46.22139215018812,79342,20,True,Luzon,3,5342453,2716,386,6049.19,193453.01
Mimaropa,2025-Q1,2025,1,38.209568611190846,24.92557226824866,59.867957025489844,4754,5,True,Luzon,3,3245446,2680,100,5969.01,190888.83
NCR,2025-Q1,2025,1,79.21407668761888,55.539644698777,50.71421637025292,5204777,87,True,Luzon,1,14001751,10426,20247,23221.22,742614.53
Northern Mindanao,2025-Q1,2025,1,74.3126771241148,43.423982012139234,77.98752859554159,507963,19,True,Mindanao,1,5178326,4096,229,9122.78,291746.51
Soccsksargen,2025-Q1,2025,1,32.96111903079936,23.997159538310648,97.10233808200945,42152,14,True,Mindanao,4,4462776,2459,202,5476.79,175147.62
Western Visayas,2025-Q1,2025,1,70.27333057462266,47.93172409594301,58.577159342662746,296452,30,True,Visayas,2,9766855,2765,372,6158.32,196943.14
Zamboanga Peninsula,2025-Q1,2025,1,60.62168820613495,47.499812741357104,103.33583886118203,113557,7,True,Mindanao,4,5089934,2525,213,5623.78,179848.62
ARMM,2025-Q2,2025,2,33.95065696883145,23.747256446047494,82.58715155931209,3434,4,True,Mindanao,4,4545486,1278,330,2846.41,91028.33
Bicol Region,2025-Q2,2025,2,66.2573806654317,41.48656871919185,47.2452827407272,136902,17,True,Luzon,4,6064426,2002,319,4458.94,142596.8
CAR,2025-Q2,2025,2,69.15999027659667,46.75131845446601,64.2913519503205,229751,4,True,Luzon,1,1808985,4145,89,9231.91,295236.64
Cagayan Valley,2025-Q2,2025,2,57.763169036209,42.12691493078253,57.66803442097489,50249,16,True,Luzon,3,3777608,2606,122,5804.19,185618.02
Calabarzon,2025-Q2,2025,2,85.8475550871955,61.97876098349242,54.88723866559014,1334269,64,True,Luzon,2,16933234,3647,854,8122.75,259765.51
Caraga,2025-Q2,2025,2,60.83993074159874,43.254832067144164,72.26382584825309,69806,4,True,Mindanao,3,2865196,2630,121,5857.64,187327.47
Central Luzon,2025-Q2,2025,2,76.48892851891662,60.3954036812693,49.9011434892292,791230,70,True,Luzon,2,12989074,3697,510,8234.11,263326.87
Central Visayas,2025-Q2,2025,2,68.26754964033927,50.864480103345024,82.03118094955927,877443,28,True,Visayas,2,6640875,3448,647,7679.53,245591.3
Davao Region,2025-Q2,2025,2,66.4665171154112,49.154971172993385,85.80212350130289,604071,11,True,Mindanao,1,5389422,4079,245,9084.92,290535.65
Eastern Visayas,2025-Q2,2025,2,23.18008681767024,14.2437675507497,78.65761490491202,38838,8,True,Visayas,4,4625929,2076,191,4623.75,147867.62
Ilocos Region,2025-Q2,2025,2,64.303289314496,43.96859221196295,55.806280076691586,85057,22,True,Luzon,3,5342453,2716,386,6049.19,193453.01
Mimaropa,2025-Q2,2025,2,39.897047721486956,24.09778962501759,64.19309635376258,6449,7,True,Luzon,3,3245446,2680,100,5969.01,190888.83
NCR,2025-Q2,2025,2,80.35903691414191,58.6370201771376,49.823094096727225,3804984,68,True,Luzon,1,14001751,10426,20247,23221.22,742614.53
Northern Mindanao,2025-Q2,2025,2,66.33380684232104,44.48643206349352,79.75229522110706,334295,19,True,Mindanao,1,5178326,4096,229,9122.78,291746.51
Soccsksargen,2025-Q2,2025,2,33.98389701973978,24.332727980783687,92.93818386363007,36516,12,True,Mindanao,4,4462776,2459,202,5476.79,175147.62
Western Visayas,2025-Q2,2025,2,66.40022643829565,47.70366412555584,68.82476873397748,233031,34,True,Visayas,2,9766855,2765,372,6158.32,196943.14
Zamboanga Peninsula,2025-Q2,2025,2,59.38948926432328,47.892790188874535,100.45763486495999,79855,6,True,Mindanao,4,5089934,2525,213,5623.78,179848.62
ARMM,2025-Q3,2025,3,37.80620774985567,27.265627229573028,93.81740961953808,12049,4,True,Mindanao,4,4545486,1278,330,2846.41,91028.33
Bicol Region,2025-Q3,2025,3,72.21800500913314,45.67543739928772,52.7302536367002,135228,15,True,Luzon,4,6064426,2002,319,4458.94,142596.8
CAR,2025-Q3,2025,3,69.97976367074368,58.921113838249724,55.54835124991155,309213,3,True,Luzon,1,1808985,4145,89,9231.91,295236.64
