country,quarter,nat_Voice,cap_Voice,nat_Video HD,cap_Video HD,nat_Video UHD,cap_Video UHD,nat_Cloud gaming,cap_Cloud gaming
Cambodia,2024Q1,100.0,100.0,100.0,100.0,72.25490054830986,72.49067990299147,41.05392076608515,41.18788630851788
Cambodia,2024Q2,100.0,100.0,100.0,100.0,78.87799776103307,93.68790498013455,44.817044182405155,53.23176419325827
Cambodia,2024Q3,100.0,100.0,100.0,100.0,85.96811668624096,91.26028415039468,48.845520844455095,51.85243417636062
Cambodia,2024Q4,100.0,100.0,100.0,100.0,73.58879015885303,78.9642136066907,41.811812590257404,44.86603045834699
Cambodia,2025Q1,100.0,100.0,100.0,100.0,83.42428574304463,95.49347534512336,47.40016235400263,54.25765644609282
Cambodia,2025Q2,100.0,100.0,100.0,100.0,69.36793614993624,70.85240677485805,39.41360008519105,40.25704930389662
Cambodia,2025Q3,100.0,100.0,100.0,100.0,66.93005077827354,69.04246146497792,38.028437942200874,39.22867128691927
Cambodia,2025Q4,100.0,100.0,100.0,100.0,68.28817372659981,71.70465950628234,38.800098708295344,40.74128381038769
Indonesia,2024Q1,100.0,100.0,100.0,100.0,35.80896636861526,50.1667897156693,20.346003618531398,28.50385779299392
Indonesia,2024Q2,100.0,100.0,100.0,100.0,38.29192515281181,53.40494556043552,21.756775655006706,30.343719068429277
Indonesia,2024Q3,100.0,100.0,100.0,100.0,39.56783932361522,51.82282629641058,22.48172688841774,29.444787668415106
Indonesia,2024Q4,100.0,100.0,100.0,100.0,39.87359919876702,52.08728538562865,22.655454090208533,29.595048514561732
Indonesia,2025Q1,100.0,100.0,100.0,100.0,49.71592284764749,58.60276737692861,28.247683436163346,33.297026918709435
Indonesia,2025Q2,100.0,100.0,100.0,100.0,46.7781266925525,50.666398119230514,26.57848107531392,28.78772620410825
Indonesia,2025Q3,100.0,100.0,100.0,100.0,62.026625903850416,61.167072661514865,35.24240108173319,34.754018557678904
Indonesia,2025Q4,100.0,100.0,100.0,100.0,65.24569226684459,66.44324590229901,37.07141606070715,37.75184426266989
Laos,2024Q1,100.0,100.0,100.0,100.0,75.87668008267033,92.53222471483221,43.11175004697178,52.57512767888194
Laos,2024Q2,100.0,100.0,100.0,100.0,62.633824692228465,68.1800491267789,35.58740039331163,38.73866427657892
Laos,2024Q3,100.0,100.0,100.0,100.0,62.632650639890045,69.12242199354858,35.58673331811934,39.27410340542533
Laos,2024Q4,100.0,100.0,100.0,100.0,50.49142138262888,70.92260804581088,28.68830760376641,40.29693638966527
Laos,2025Q1,100.0,100.0,100.0,100.0,100.0,100.0,85.27057130157965,83.9358071802499
Laos,2025Q2,100.0,100.0,100.0,100.0,100.0,100.0,58.791895669016355,63.97933768833604
Laos,2025Q3,100.0,100.0,100.0,100.0,88.54737826188952,90.85770186385712,50.3110103760736,51.62369424082791
Laos,2025Q4,100.0,100.0,100.0,100.0,91.61780489117028,98.46960805048202,52.055570960892204,55.948640937773874
Malaysia,2024Q1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Malaysia,2024Q2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Malaysia,2024Q3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Malaysia,2024Q4,100.0,100.0,100.0,100.0,100.0,100.0,87.22017978166974,95.76668135765374
Malaysia,2025Q1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,76.06187465313387
Malaysia,2025Q2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Malaysia,2025Q3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Malaysia,2025Q4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Myanmar,2024Q1,100.0,100.0,100.0,100.0,39.9499953810372,39.585866200523775,22.698861011952953,22.49196943211578
Myanmar,2024Q2,100.0,100.0,100.0,100.0,39.19600092889114,37.460690320725746,22.2704550732336,21.284483136775993
Myanmar,2024Q3,100.0,100.0,100.0,100.0,42.65786476462221,39.82555590646608,24.237423161717164,22.628156765037545
Myanmar,2024Q4,100.0,100.0,100.0,100.0,54.33485386070303,52.60664270362686,30.872076057217622,29.890137899787987
Myanmar,2025Q1,100.0,100.0,100.0,100.0,54.955024454708045,54.21518296269501,31.2244457129023,30.80408122880398
Myanmar,2025Q2,100.0,100.0,100.0,100.0,44.68345886379127,40.51453508459204,25.388328899881408,23.01962220715457
Myanmar,2025Q3,100.0,100.0,100.0,100.0,51.90895775152653,47.80466322648736,29.493725995185528,27.16174046959509
Myanmar,2025Q4,100.0,100.0,100.0,100.0,47.03416023338292,48.53954858677184,26.723954678058476,27.57928896975673
Philippines,2024Q1,100.0,100.0,100.0,100.0,100.0,100.0,58.165347520267275,62.96165240179283
Philippines,2024Q2,100.0,100.0,100.0,100.0,100.0,100.0,77.76492241349622,79.02917914785206
Philippines,2024Q3,100.0,100.0,100.0,100.0,100.0,100.0,74.83800279334791,76.3357726466746
Philippines,2024Q4,100.0,100.0,100.0,100.0,100.0,100.0,80.20186688908242,79.39017316878011
Philippines,2025Q1,100.0,100.0,100.0,100.0,100.0,100.0,93.52366213737437,89.78067118102241
Philippines,2025Q2,100.0,100.0,100.0,100.0,100.0,100.0,84.22109570979704,84.99250340924918
